키워드,빈도수
종사,248
공영,248
협약,247
배치,247
보수,247
고유,247
법치,246
접촉,246
통화,246
석탄,246
개별,246
재발,246
자질,246
김대중,246
재일,246
쇄신,245
벌어지다,245
파병,245
가다듬다,245
수해,245
원활,245
잠시,245
서명,244
사법,244
소개,244
제국,244
여행,244
스웨덴,244
저항,243
도착,243
진통,243
돌파,243
관심사,243
둘째,243
의제,243
제조,243
질병,243
감염병,242
홍수,242
양상,242
실증,242
상상,242
기독교,242
워싱턴,241
단행,241
더우기,241
며칠,241
당사자,241
따로,241
여하,241
원유,240
앞장,240
능히,240
가르다,240
정경,240
패러다임,240
국익,239
자행,239
보훈,239
나아지다,239
부인,239
조달,239
전시,239
부작용,239
박사,239
가계,239
도달,238
고등학교,238
놓치다,238
신흥,238
드높이다,238
입국,238
동유럽,238
견디다,238
전념,237
서해,237
준공식,237
노후,237
아우르다,237
파악,237
노리다,237
식민지,236
유도,236
중견,236
클러스터,236
욕구,236
정직,236
내지,236
채용,236
조류,235
건투,235
광장,235
대형,235
선동,235
실효,234
준수,234
포장,234
심리,234
국립,234
확진자,233
여유,233
국제기구,233
김정일,233
판문점,233
남한,233
수렴,232
마당,232
진단,232
제약,232
국면,232
증명,232
생계,232
예술인,232
튼튼하다,231
신속히,231
전술,231
자긍심,231
자부,231
승화,230
지자체,230
섬유,230
훌륭히,230
라디오,230
철통,230
스페인,230
단기,229
열매,229
호전,229
편리,229
재벌,229
극대,229
문민정부,229
중앙아시아,229
괄목,228
고급,228
실험,228
서구,228
연장,228
매일,228
흔히,228
퍼지다,227
심하다,227
찾아오다,227
차기,227
붕괴,227
묵묵히,227
광복절,226
부당,226
햇볕,226
실업자,226
억압,226
장치,226
마치,226
전폭,226
혹은,226
고조,225
고위,225
학술,225
가치관,225
후퇴,225
가르침,225
걸맞다,225
각별히,225
품목,225
충족,225
배제,225
공비,224
플랫폼,224
태풍,224
근원,224
개개인,224
접목,224
관광객,224
그날,223
압도,223
캄보디아,223
자라나다,223
업종,223
단호히,223
축구,223
괴뢰,222
이탈리아,222
미리,222
떠오르다,222
전두환,222
조약,222
각기,222
과학자,221
일환,221
왜곡,221
허물다,221
급변,221
언급,221
성실히,220
동족,220
구도,220
이양,220
유시,220
발돋움,220
지사,219
일대,219
당당히,219
하반기,219
견인차,219
숱하다,219
창달,219
권위,219
농협,218
언론인,218
겨울,218
순조,218
금하다,218
대치,218
끝내다,218
표하다,218
응하다,218
외치다,218
학문,218
분쇄,218
약화,217
장소,217
학자,217
살아나다,217
제주도,217
공산당,217
유해,217
등급,217
의장국,217
사찰,216
서해안,216
영세,216
책동,216
답사,216
시멘트,216
대사,216
간부,216
진영,216
발족,215
연방,215
골고루,215
감명,215
식민,215
이라크,215
한데,214
대의,214
실행,214
사우디,214
노사정,214
그간,214
단일,214
잡히다,213
피부,213
인생,213
상공,213
단체장,213
이래,213
최소한,213
지난주,212
늦추다,212
위성,212
대의원,212
사장,212
감당,212
저지르다,212
무려,211
불의,211
순위,211
저지,211
자식,211
신년,211
금지,210
유능,210
첫째,210
최저,210
선양,210
기꺼이,210
일체,209
좋아하다,209
가스,209
양심,209
할머니,209
민주정의당,209
극동,208
공화당,208
어민,208
충돌,208
임대,208
파동,208
더불어,208
레이건,208
위시,208
인종,207
낙후,207
군산,207
염려,207
유례,206
배경,206
인기,206
만행,206
추모,206
강점,205
주식,205
보육,205
현명,205
모국,205
훌륭하다,205
슬픔,205
시범,205
따라서다,204
가구,204
제철,204
여름,204
쌓이다,203
회계,203
육군,203
해치다,203
건물,203
칠레,203
봉쇄,203
종전,202
여수,202
폐지,202
예외,202
각각,202
간절히,201
장점,201
출신,201
공단,201
반복,201
불어넣다,201
특권,201
대량,201
함양,201
점점,201
침략자,200
